"","q","user_id","party","response_1","response_2","response_3","truth","set","network","pair_id","experiment","remove_extreme"
"1","Unemployment",221,"Dem",4.7,4.7,5,4.9,"D","Social",1,1,NA
"2","Unemployment",262,"Dem",4.4,4.4,4.4,4.9,"D","Social",1,1,NA
"3","Election",262,"Dem",250,300,225,224.6,"D","Social",1,1,NA
"4","Taxes",213,"Dem",15,18,18,14.6,"D","Social",1,1,NA
"5","Election",263,"Dem",50,100,20,224.6,"D","Social",1,1,NA
"6","Taxes",214,"Dem",12,14,14,14.6,"D","Social",1,1,NA
"7","Election",222,"Dem",200,216,205,224.6,"D","Social",1,1,NA
"8","California",263,"Dem",67,60,60,60.2,"D","Social",1,1,NA
"9","Election",212,"Dem",250,328,329,224.6,"D","Social",1,1,NA
"10","Taxes",202,"Dem",35,20,39,14.6,"D","Social",1,1,NA
"11","Unemployment",233,"Dem",6,6,6,4.9,"D","Social",1,1,NA
"12","Election",202,"Dem",150,200,190,224.6,"D","Social",1,1,NA
"13","Taxes",233,"Dem",15,18,20,14.6,"D","Social",1,1,NA
"14","Unemployment",219,"Dem",5,5,5,4.9,"D","Social",1,1,NA
"15","Election",208,"Dem",250,248,245,224.6,"D","Social",1,1,NA
"16","Election",228,"Dem",234,232,234,224.6,"D","Social",1,1,NA
"17","Taxes",208,"Dem",22,NA,NA,14.6,"D","Social",1,1,NA
"18","Election",213,"Dem",215,248,268,224.6,"D","Social",1,1,NA
"19","California",220,"Dem",40,39,39,60.2,"D","Social",1,1,NA
"20","Unemployment",213,"Dem",5,4.8,4.8,4.9,"D","Social",1,1,NA
"21","Taxes",228,"Dem",15,17,20,14.6,"D","Social",1,1,NA
"22","Unemployment",263,"Dem",9,5,4.7,4.9,"D","Social",1,1,NA
"23","Taxes",212,"Dem",25,39,35,14.6,"D","Social",1,1,NA
"24","California",202,"Dem",45,48,5.4,60.2,"D","Social",1,1,NA
"25","Taxes",263,"Dem",18.3,18,18,14.6,"D","Social",1,1,NA
"26","Election",240,"Dem",200,250,220,224.6,"D","Social",1,1,NA
"27","Unemployment",202,"Dem",40,8,8,4.9,"D","Social",1,1,NA
"28","Unemployment",240,"Dem",8,9,8,4.9,"D","Social",1,1,NA
"29","Taxes",253,"Dem",12,27,26,14.6,"D","Social",1,1,NA
"30","Unemployment",228,"Dem",6,6,6,4.9,"D","Social",1,1,NA
"31","California",262,"Dem",45,48,45,60.2,"D","Social",1,1,NA
"32","Taxes",240,"Dem",25,23,22,14.6,"D","Social",1,1,NA
"33","California",276,"Dem",55,30,28,60.2,"D","Social",1,1,NA
"34","Election",258,"Dem",189,170,180,224.6,"D","Social",1,1,NA
"35","Election",271,"Dem",320,290,275,224.6,"D","Social",1,1,NA
"36","Unemployment",229,"Dem",45,7,8,4.9,"D","Social",1,1,NA
"37","Taxes",203,"Dem",16,22,20,14.6,"D","Social",1,1,NA
"38","Unemployment",271,"Dem",5,4,5,4.9,"D","Social",1,1,NA
"39","Election",253,"Dem",132,167,219,224.6,"D","Social",1,1,NA
"40","Unemployment",253,"Dem",NA,6,7,4.9,"D","Social",1,1,NA
"41","Unemployment",226,"Dem",4,5,5,4.9,"D","Social",1,1,NA
"42","Taxes",220,"Dem",14,20,26,14.6,"D","Social",1,1,NA
"43","California",233,"Dem",18,15,15,60.2,"D","Social",1,1,NA
"44","Election",203,"Dem",240,NA,222,224.6,"D","Social",1,1,NA
"45","Election",254,"Dem",240,200,250,224.6,"D","Social",1,1,NA
"46","California",203,"Dem",35,30,40,60.2,"D","Social",1,1,NA
"47","Unemployment",214,"Dem",4.8,6,5,4.9,"D","Social",1,1,NA
"48","Election",214,"Dem",225,300,300,224.6,"D","Social",1,1,NA
"49","Election",226,"Dem",199,199,199,224.6,"D","Social",1,1,NA
"50","Election",275,"Dem",150,70,120,224.6,"D","Social",1,1,NA
"51","Taxes",219,"Dem",19,19.5,19,14.6,"D","Social",1,1,NA
"52","Taxes",226,"Dem",22.5,22,25,14.6,"D","Social",1,1,NA
"53","California",213,"Dem",40,42,53,60.2,"D","Social",1,1,NA
"54","California",271,"Dem",54,53,52,60.2,"D","Social",1,1,NA
"55","Taxes",271,"Dem",13,14,13,14.6,"D","Social",1,1,NA
"56","California",240,"Dem",30,35,45,60.2,"D","Social",1,1,NA
"57","California",214,"Dem",55,60,60,60.2,"D","Social",1,1,NA
"58","Taxes",262,"Dem",13,15,15,14.6,"D","Social",1,1,NA
"59","Unemployment",225,"Dem",6,5,5,4.9,"D","Social",1,1,NA
"60","Taxes",234,"Dem",15.6,17,21.8,14.6,"D","Social",1,1,NA
"61","Taxes",225,"Dem",18,20,20,14.6,"D","Social",1,1,NA
"62","Election",229,"Dem",2450000,185,156,224.6,"D","Social",1,1,NA
"63","Unemployment",222,"Dem",4,5,5,4.9,"D","Social",1,1,NA
"64","Unemployment",201,"Dem",45,10,NA,4.9,"D","Social",1,1,NA
"65","Taxes",229,"Dem",20,22,22,14.6,"D","Social",1,1,NA
"66","Election",264,"Dem",150,5,140,224.6,"D","Social",1,1,NA
"67","Election",233,"Dem",200,225,227,224.6,"D","Social",1,1,NA
"68","Unemployment",220,"Dem",4.9,6,6,4.9,"D","Social",1,1,NA
"69","Election",219,"Dem",270,227,227,224.6,"D","Social",1,1,NA
"70","Election",276,"Dem",300,275,225,224.6,"D","Social",1,1,NA
"71","Unemployment",203,"Dem",4,5,6,4.9,"D","Social",1,1,NA
"72","Taxes",221,"Dem",42,20,21,14.6,"D","Social",1,1,NA
"73","California",211,"Dem",60,46,40,60.2,"D","Social",1,1,NA
"74","California",279,"Dem",14,45,45,60.2,"D","Social",1,1,NA
"75","Unemployment",279,"Dem",4,5,4,4.9,"D","Social",1,1,NA
"76","California",229,"Dem",43,44,45,60.2,"D","Social",1,1,NA
"77","Election",247,"Dem",250,208,208,224.6,"D","Social",1,1,NA
"78","Unemployment",208,"Dem",12,6,6,4.9,"D","Social",1,1,NA
"79","Taxes",222,"Dem",35,30,28,14.6,"D","Social",1,1,NA
"80","Taxes",279,"Dem",23.1,23.1,23.1,14.6,"D","Social",1,1,NA
"81","California",208,"Dem",35,48,49,60.2,"D","Social",1,1,NA
"82","California",280,"Dem",35,35,35,60.2,"D","Social",1,1,NA
"83","Unemployment",247,"Dem",5,5,5,4.9,"D","Social",1,1,NA
"84","California",228,"Dem",52,50,52,60.2,"D","Social",1,1,NA
"85","Election",225,"Dem",200,220,230,224.6,"D","Social",1,1,NA
"86","Unemployment",264,"Dem",12,12,10,4.9,"D","Social",1,1,NA
"87","California",221,"Dem",12,25,42,60.2,"D","Social",1,1,NA
"88","Unemployment",211,"Dem",4.6,4.6,4.6,4.9,"D","Social",1,1,NA
"89","Election",211,"Dem",100,210,200,224.6,"D","Social",1,1,NA
