question,response,party,truth
california,30,D,53
california,33,D,53
california,60,D,53
california,65,I,53
california,40,D,53
california,80,I,53
california,30,R,53
california,38,R,53
california,22,R,53
california,60,R,53
california,70,D,53
california,33,D,53
california,60,R,53
california,10,D,53
california,7,D,53
california,25,I,53
california,20,D,53
california,40,D,53
california,60,D,53
california,52,I,53
california,60,R,53
california,30,R,53
california,60,R,53
california,20,D,53
california,40,R,53
california,40,D,53
california,25,I,53
california,35,I,53
california,15,D,53
california,50,I,53
california,43,D,53
california,45,R,53
california,45,D,53
california,40,D,53
california,15,D,53
california,40,I,53
california,50,I,53
california,40,I,53
california,20,I,53
california,20,D,53
california,25,I,53
california,65,R,53
california,60,D,53
california,45,R,53
california,65,I,53
california,25,D,53
california,45,D,53
california,10,D,53
california,35,D,53
california,21,D,53
california,21,D,53
california,54,I,53
california,52,R,53
california,32,D,53
california,55,D,53
california,20,R,53
california,25,D,53
california,45,D,53
california,20,R,53
california,40,D,53
california,35,I,53
california,33,R,53
california,50,D,53
california,10,R,53
california,15,D,53
california,60,D,53
california,45,D,53
california,60,R,53
california,28,D,53
california,75,D,53
california,65,D,53
california,35,I,53
california,45,R,53
california,45,D,53
california,70,D,53
california,8,D,53
california,38,I,53
california,25,R,53
california,75,D,53
california,60,R,53
california,7,D,53
california,65,R,53
california,37,D,53
california,29,R,53
california,25,D,53
california,50,R,53
california,29,D,53
california,55,D,53
california,40,D,53
california,40,D,53
california,40,R,53
california,42,R,53
california,50,R,53
california,40,I,53
california,45,D,53
california,35,I,53
california,60,I,53
california,40,I,53
california,25,D,53
california,35,D,53
california,35,R,53
california,25,D,53
california,55,D,53
california,30,I,53
california,30,I,53
california,48,I,53
california,40,I,53
california,50,D,53
california,30,D,53
california,20,I,53
california,40,D,53
california,30,R,53
california,22,D,53
california,35,I,53
california,25,R,53
california,55,R,53
california,50,D,53
california,5,D,53
california,40,I,53
california,65,D,53
california,30,D,53
california,35,R,53
california,33,R,53
california,25,I,53
california,30,I,53
california,35,R,53
california,45,I,53
california,5,R,53
california,35,I,53
california,40,R,53
california,50,R,53
california,55,D,53
california,65,D,53
california,35,D,53
california,34,D,53
california,66,R,53
california,40,R,53
california,35,I,53
california,48,D,53
california,60,R,53
california,40,R,53
california,20,D,53
california,25,D,53
california,32,D,53
california,21,D,53
california,60,R,53
california,62,D,53
california,43,D,53
california,35,I,53
california,65,R,53
california,30,R,53
california,60,D,53
california,65,R,53
california,0.2,D,53
california,40,D,53
california,44,R,53
california,44,D,53
california,70,D,53
california,40,D,53
california,8,D,53
california,54,D,53
california,40,D,53
california,80,D,53
california,8,D,53
california,20,R,53
california,35,D,53
california,51,D,53
california,30,D,53
california,41,R,53
california,35,D,53
california,33,D,53
california,54,R,53
california,30,D,53
california,40,I,53
california,20,D,53
california,45,I,53
california,33,R,53
california,30,D,53
california,25,I,53
california,30,R,53
california,40,D,53
california,25,D,53
california,8,I,53
california,15,I,53
california,30,I,53
california,12,D,53
california,60,R,53
california,31,D,53
california,52,I,53
california,40,R,53
california,60,R,53
california,65,D,53
california,3,R,53
california,40,R,53
california,15,D,53
california,60,R,53
california,60,R,53
california,40,D,53
california,15,R,53
california,35,R,53
california,65,D,53
california,35,R,53
california,40,D,53
california,35,I,53
california,13,D,53
california,43,R,53
california,23,D,53
california,60,D,53
california,30,D,53
california,60,D,53
california,40,D,53
california,30,D,53
california,78,R,53
california,68,D,53
california,30,D,53
california,30,R,53
california,35,D,53
california,50,D,53
california,55,R,53
california,50,R,53
california,20,R,53
china,35,R,380.8
china,100,D,380.8
china,200,R,380.8
china,122,I,380.8
china,57,R,380.8
china,400,R,380.8
china,164,D,380.8
china,1.00E+09,D,380.8
china,1.62E+11,R,380.8
china,10,I,380.8
china,300,I,380.8
china,200,D,380.8
china,2000,I,380.8
china,250,R,380.8
china,200,D,380.8
china,10,R,380.8
china,33,R,380.8
china,17.9,D,380.8
china,50,D,380.8
china,30,R,380.8
china,85,R,380.8
china,350,R,380.8
china,150,R,380.8
china,145,D,380.8
china,5,I,380.8
china,25,I,380.8
china,100,D,380.8
china,80,I,380.8
china,70,R,380.8
china,100,D,380.8
china,200,D,380.8
china,200,D,380.8
china,75,R,380.8
china,120,D,380.8
china,3,I,380.8
china,100,I,380.8
china,232,R,380.8
china,586.7,I,380.8
china,100,D,380.8
china,250,D,380.8
china,300,R,380.8
china,20,D,380.8
china,25,I,380.8
china,20,D,380.8
china,100,D,380.8
china,4.00E+11,R,380.8
china,100,D,380.8
china,70,D,380.8
china,4.00E+09,R,380.8
china,200,I,380.8
china,124,D,380.8
china,10,R,380.8
china,250,R,380.8
china,150,D,380.8
china,120,R,380.8
china,100,I,380.8
china,200,R,380.8
china,150,D,380.8
china,30,D,380.8
china,200,R,380.8
china,45,R,380.8
china,500,D,380.8
china,100,I,380.8
china,60,D,380.8
china,100,D,380.8
china,290,R,380.8
china,175,D,380.8
china,5,R,380.8
china,2,R,380.8
china,100,D,380.8
china,200,D,380.8
china,200,R,380.8
china,300,R,380.8
china,200,D,380.8
china,8,R,380.8
china,1.00E+09,D,380.8
china,20,D,380.8
china,400,D,380.8
china,40,I,380.8
china,6,I,380.8
china,200,R,380.8
china,250,D,380.8
china,50,D,380.8
china,250,R,380.8
china,75,D,380.8
china,350,D,380.8
china,60,R,380.8
china,300,I,380.8
china,999,D,380.8
china,200,D,380.8
china,150,I,380.8
china,5,I,380.8
china,225.3,D,380.8
china,162,R,380.8
china,500,R,380.8
china,30,D,380.8
china,52,I,380.8
china,15,I,380.8
china,200,D,380.8
china,200,D,380.8
china,200,D,380.8
china,20,I,380.8
china,15,D,380.8
china,150,D,380.8
china,100,I,380.8
china,212,R,380.8
china,250,D,380.8
china,20,D,380.8
china,250,D,380.8
china,50,R,380.8
china,200,R,380.8
china,18,R,380.8
china,400,R,380.8
china,300,D,380.8
china,200,D,380.8
china,10,D,380.8
china,35,I,380.8
china,5,R,380.8
china,25,I,380.8
china,15,D,380.8
china,630,I,380.8
china,200,D,380.8
china,1,R,380.8
china,100,R,380.8
china,10,R,380.8
china,200,R,380.8
china,200,I,380.8
china,20,D,380.8
china,100,D,380.8
china,100,D,380.8
china,150,R,380.8
china,100,R,380.8
china,200,D,380.8
china,200,R,380.8
china,6,D,380.8
china,200,R,380.8
china,10,D,380.8
china,100,D,380.8
china,3,D,380.8
china,200,D,380.8
china,10,I,380.8
china,262,R,380.8
china,60,D,380.8
china,20,R,380.8
china,200,D,380.8
china,70,D,380.8
china,33,R,380.8
china,400,D,380.8
china,20,D,380.8
china,150,D,380.8
china,256,D,380.8
china,30,R,380.8
china,10,R,380.8
china,25,D,380.8
china,1.5,D,380.8
china,200,D,380.8
china,2,D,380.8
china,300,I,380.8
china,100,D,380.8
china,100,D,380.8
china,200,R,380.8
china,5,I,380.8
china,0,R,380.8
china,150,I,380.8
china,10,I,380.8
china,3,D,380.8
china,100,I,380.8
china,130,D,380.8
china,50,R,380.8
china,125,I,380.8
china,300,I,380.8
china,150,R,380.8
china,130,D,380.8
china,400,I,380.8
china,100,I,380.8
china,400,D,380.8
china,1000,D,380.8
china,2.00E+08,I,380.8
china,300,I,380.8
china,30,R,380.8
china,200,I,380.8
china,150,R,380.8
china,1000,R,380.8
china,200,D,380.8
china,200,D,380.8
china,20,I,380.8
china,2,D,380.8
china,252.6,D,380.8
china,100,D,380.8
china,25,R,380.8
china,40,D,380.8
china,10,D,380.8
china,30,R,380.8
china,440,I,380.8
china,100,I,380.8
china,25,R,380.8
china,15,D,380.8
china,1.50E+11,D,380.8
china,360,D,380.8
china,200,D,380.8
china,200,D,380.8
china,5,D,380.8
china,100,R,380.8
china,30,D,380.8
china,10,D,380.8
china,60,D,380.8
china,150,D,380.8
china,100,R,380.8
china,400,R,380.8
china,300,R,380.8
china,70,D,380.8
china,300,D,380.8
clintondow,3500,D,10587.59
clintondow,66,D,10587.59
clintondow,8000,D,10587.59
clintondow,3800,I,10587.59
clintondow,4000,D,10587.59
clintondow,4000,R,10587.59
clintondow,3400,I,10587.59
clintondow,4045,D,10587.59
clintondow,5000,D,10587.59
clintondow,3500,D,10587.59
clintondow,4000,D,10587.59
clintondow,5000,D,10587.59
clintondow,13000,R,10587.59
clintondow,3800,D,10587.59
clintondow,5000,I,10587.59
clintondow,4500,D,10587.59
clintondow,355312,D,10587.59
clintondow,1500,D,10587.59
clintondow,4200,I,10587.59
clintondow,8000,I,10587.59
clintondow,2500,D,10587.59
clintondow,11000,I,10587.59
clintondow,8000,R,10587.59
clintondow,5000,D,10587.59
clintondow,6523.39,R,10587.59
clintondow,10000,R,10587.59
clintondow,3400,R,10587.59
clintondow,5000,R,10587.59
clintondow,45200,I,10587.59
clintondow,8000,D,10587.59
clintondow,4000,D,10587.59
clintondow,4000,D,10587.59
clintondow,2850,R,10587.59
clintondow,3000,R,10587.59
clintondow,5000,D,10587.59
clintondow,3720.15,R,10587.59
clintondow,8200,D,10587.59
clintondow,4500,D,10587.59
clintondow,3000,R,10587.59
clintondow,3500,D,10587.59
clintondow,10000,D,10587.59
clintondow,6000,I,10587.59
clintondow,2000,R,10587.59
clintondow,10000,I,10587.59
clintondow,7828,D,10587.59
clintondow,4500,D,10587.59
clintondow,9000,D,10587.59
clintondow,2800,R,10587.59
clintondow,3253.01,I,10587.59
clintondow,2800,D,10587.59
clintondow,4.5,D,10587.59
clintondow,13700,R,10587.59
clintondow,10,R,10587.59
clintondow,6500,D,10587.59
clintondow,8000,D,10587.59
clintondow,6000,D,10587.59
clintondow,8900,D,10587.59
clintondow,4000,D,10587.59
clintondow,4000,D,10587.59
clintondow,4800,D,10587.59
clintondow,45895,R,10587.59
clintondow,6000,R,10587.59
clintondow,8500.56,D,10587.59
clintondow,1200.02,D,10587.59
clintondow,3648.03,R,10587.59
clintondow,6000,D,10587.59
clintondow,3000,R,10587.59
clintondow,6800,R,10587.59
clintondow,2500,D,10587.59
clintondow,4213.07,R,10587.59
clintondow,10000,D,10587.59
clintondow,3400,I,10587.59
clintondow,5298.16,I,10587.59
clintondow,4,R,10587.59
clintondow,6000,D,10587.59
clintondow,2900,R,10587.59
clintondow,3600,R,10587.59
clintondow,2800,R,10587.59
clintondow,5000,D,10587.59
clintondow,5000,I,10587.59
clintondow,4000,R,10587.59
clintondow,5000,D,10587.59
clintondow,3000,I,10587.59
clintondow,2900,D,10587.59
clintondow,4000,R,10587.59
clintondow,10000,D,10587.59
clintondow,7000,I,10587.59
clintondow,4390,D,10587.59
clintondow,3500,I,10587.59
clintondow,4000,R,10587.59
clintondow,2000,D,10587.59
clintondow,3301,D,10587.59
clintondow,9000,I,10587.59
clintondow,1.00E+05,R,10587.59
clintondow,6000,D,10587.59
clintondow,4000,D,10587.59
clintondow,7824,D,10587.59
clintondow,60,D,10587.59
clintondow,3500,R,10587.59
clintondow,6000,D,10587.59
clintondow,3859.35,R,10587.59
clintondow,4000,D,10587.59
clintondow,3250,D,10587.59
clintondow,5000,I,10587.59
clintondow,4486.87,I,10587.59
clintondow,4,D,10587.59
clintondow,316.34,R,10587.59
clintondow,3500,R,10587.59
clintondow,3000,I,10587.59
clintondow,3600,D,10587.59
clintondow,2958,D,10587.59
clintondow,6,R,10587.59
clintondow,5000,D,10587.59
clintondow,5000,D,10587.59
clintondow,3300,I,10587.59
clintondow,3500,D,10587.59
clintondow,6000,R,10587.59
clintondow,5000,D,10587.59
clintondow,3780.49,R,10587.59
clintondow,8000,D,10587.59
clintondow,11500,D,10587.59
clintondow,3400,D,10587.59
clintondow,3500.1,D,10587.59
clintondow,4500,D,10587.59
clintondow,3400,D,10587.59
clintondow,4324.02,R,10587.59
clintondow,6300,D,10587.59
clintondow,5220.05,D,10587.59
clintondow,4900,R,10587.59
clintondow,3750,D,10587.59
